filename,position,color,bead,n_coma,n_astig,n_sph,notes
,pos1,blue,1,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_bypass matching bead=1, position=pos1, color=blue"
aberrations_avg_pos1_red_Bead1_20251008_110510,pos1,red,1,3,3,2,"ok"
,pos1,blue,2,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_bypass matching bead=2, position=pos1, color=blue"
aberrations_avg_pos1_red_Bead2_20251008_110800,pos1,red,2,3,3,2,"ok"
,pos1,blue,3,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_bypass matching bead=3, position=pos1, color=blue"
aberrations_avg_pos1_red_Bead3_20251008_110905,pos1,red,3,3,3,2,"ok"
,pos1,blue,4,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_bypass matching bead=4, position=pos1, color=blue"
aberrations_avg_pos1_red_Bead4_20251008_110949,pos1,red,4,3,3,2,"ok"
,pos2,blue,1,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_bypass matching bead=1, position=pos2, color=blue"
aberrations_avg_pos2_red_Bead1_20251008_111059,pos2,red,1,3,3,2,"ok"
,pos2,blue,2,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_bypass matching bead=2, position=pos2, color=blue"
aberrations_avg_pos2_red_Bead2_20251008_111153,pos2,red,2,3,3,2,"ok"
,pos2,blue,3,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_bypass matching bead=3, position=pos2, color=blue"
aberrations_avg_pos2_red_Bead3_20251008_111237,pos2,red,3,3,3,2,"ok"
,pos2,blue,4,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_bypass matching bead=4, position=pos2, color=blue"
aberrations_avg_pos2_red_Bead4_20251008_111322,pos2,red,4,3,3,2,"ok"
,pos3,blue,1,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_bypass matching bead=1, position=pos3, color=blue"
aberrations_avg_pos3_red_Bead1_20251008_111425,pos3,red,1,3,3,2,"ok"
,pos3,blue,2,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_bypass matching bead=2, position=pos3, color=blue"
aberrations_avg_pos3_red_Bead2_20251008_111505,pos3,red,2,3,3,2,"ok"
,pos3,blue,3,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_bypass matching bead=3, position=pos3, color=blue"
aberrations_avg_pos3_red_Bead3_20251008_111547,pos3,red,3,3,3,2,"ok"
,pos3,blue,4,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_bypass matching bead=4, position=pos3, color=blue"
,pos3,red,4,0,0,0,"missing: No MAT file found in D:\projekt\aberrations_measurement\data\aberrations_red_bypass matching bead=4, position=pos3, color=red"
